issue,experiment_slug,variant,seed,metric,value,params,date
97,002-momentum-collapse-boundary,full_m0.99,2,effective_rank,2.9432,"{""momentum"":0.99,""steps"":3000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.99,2,embedding_std,0.4943,"{""momentum"":0.99,""steps"":3000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.99,2,effective_rank,4.0293,"{""momentum"":0.99,""steps"":6000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.99,2,embedding_std,0.3003,"{""momentum"":0.99,""steps"":6000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.996,0,effective_rank,1.6159,"{""momentum"":0.996,""steps"":300}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.996,0,embedding_std,0.3021,"{""momentum"":0.996,""steps"":300}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.996,0,effective_rank,1.9653,"{""momentum"":0.996,""steps"":1000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.996,0,embedding_std,0.3805,"{""momentum"":0.996,""steps"":1000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.996,0,effective_rank,2.7922,"{""momentum"":0.996,""steps"":3000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.996,0,embedding_std,0.4883,"{""momentum"":0.996,""steps"":3000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.996,0,effective_rank,3.6812,"{""momentum"":0.996,""steps"":6000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.996,0,embedding_std,0.3456,"{""momentum"":0.996,""steps"":6000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.996,1,effective_rank,1.6695,"{""momentum"":0.996,""steps"":300}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.996,1,embedding_std,0.2958,"{""momentum"":0.996,""steps"":300}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.996,1,effective_rank,1.7240,"{""momentum"":0.996,""steps"":1000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.996,1,embedding_std,0.5043,"{""momentum"":0.996,""steps"":1000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.996,1,effective_rank,2.3562,"{""momentum"":0.996,""steps"":3000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.996,1,embedding_std,0.5262,"{""momentum"":0.996,""steps"":3000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.996,1,effective_rank,3.1893,"{""momentum"":0.996,""steps"":6000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.996,1,embedding_std,0.2754,"{""momentum"":0.996,""steps"":6000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.996,2,effective_rank,1.6192,"{""momentum"":0.996,""steps"":300}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.996,2,embedding_std,0.1777,"{""momentum"":0.996,""steps"":300}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.996,2,effective_rank,1.6310,"{""momentum"":0.996,""steps"":1000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.996,2,embedding_std,0.5069,"{""momentum"":0.996,""steps"":1000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.996,2,effective_rank,2.8164,"{""momentum"":0.996,""steps"":3000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.996,2,embedding_std,0.4920,"{""momentum"":0.996,""steps"":3000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.996,2,effective_rank,3.7852,"{""momentum"":0.996,""steps"":6000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.996,2,embedding_std,0.2740,"{""momentum"":0.996,""steps"":6000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.999,0,effective_rank,1.6173,"{""momentum"":0.999,""steps"":300}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.999,0,embedding_std,0.3010,"{""momentum"":0.999,""steps"":300}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.999,0,effective_rank,1.5060,"{""momentum"":0.999,""steps"":1000}",2026-08-14
